DATE,IPUHN444U101000000
1988-01-01,-4.3
1989-01-01,4.7
1990-01-01,2.1
1991-01-01,3.7
1992-01-01,-4.0
1993-01-01,-2.5
1994-01-01,-4.3
1995-01-01,2.1
1996-01-01,-0.9
1997-01-01,0.7
1998-01-01,-1.3
1999-01-01,-1.2
2000-01-01,2.7
2001-01-01,-2.7
2002-01-01,-3.4
2003-01-01,-0.7
2004-01-01,-0.3
2005-01-01,2.6
2006-01-01,1.9
2007-01-01,3.4
2008-01-01,4.2
2009-01-01,7.4
2010-01-01,-3.2
2011-01-01,-0.6
2012-01-01,-1.8
2013-01-01,-0.2
2014-01-01,0.4
2015-01-01,-0.5
2016-01-01,-1.1
2017-01-01,0.8
2018-01-01,0.3
2019-01-01,1.6
2020-01-01,3.6
2021-01-01,5.1
2022-01-01,3.6
