DATE,DDEM01USA156NWDB
1995-01-01,74.49096999999999
1996-01-01,82.13547
1997-01-01,86.02991999999999
1998-01-01,95.22276
1999-01-01,127.3278
2000-01-01,197.1309
2001-01-01,149.3427
2002-01-01,154.2627
2003-01-01,112.4687
2004-01-01,117.0267
2005-01-01,151.7111
2006-01-01,156.2769
2007-01-01,215.0987
2008-01-01,407.6304
2009-01-01,227.5368
2010-01-01,208.4386
2011-01-01,262.4277
2012-01-01,173.2852
2013-01-01,138.3293
2014-01-01,148.028
2015-01-01,165.1479
2016-01-01,153.8133
2017-01-01,123.8637
2018-01-01,108.5126
2019-01-01,68.43193000000001
